date,service,instance_id,environment,team,region,usage_hours,cost_usd
2023-10-01,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,150.50
2023-10-02,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,152.30
2023-10-03,S3,bucket-123,prod,data,us-west-2,168,5.20
2023-10-04,EC2,i-0987654321fedcba0,dev,frontend,us-east-1,480,98.75
2023-10-05,RDS,db-instance-456,prod,database,eu-west-1,720,200.00
2023-10-06,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,151.80
2023-10-07,Lambda,function-789,prod,backend,us-east-1,24,12.50
2023-10-08,S3,bucket-123,prod,data,us-west-2,168,5.15
2023-10-09,EC2,i-0987654321fedcba0,dev,frontend,us-east-1,480,99.20
2023-10-10,RDS,db-instance-456,prod,database,eu-west-1,720,198.50
2023-10-11,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,153.10
2023-10-12,S3,bucket-123,prod,data,us-west-2,168,5.30
2023-10-13,EC2,i-0987654321fedcba0,dev,frontend,us-east-1,480,97.90
2023-10-14,RDS,db-instance-456,prod,database,eu-west-1,720,201.25
2023-10-15,Lambda,function-789,prod,backend,us-east-1,24,13.00
2023-10-16,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,149.75
2023-10-17,S3,bucket-123,prod,data,us-west-2,168,5.10
2023-10-18,EC2,i-0987654321fedcba0,dev,frontend,us-east-1,480,100.50
2023-10-19,RDS,db-instance-456,prod,database,eu-west-1,720,199.80
2023-10-20,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,152.60
2023-10-21,S3,bucket-123,prod,data,us-west-2,168,5.25
2023-10-22,EC2,i-0987654321fedcba0,dev,frontend,us-east-1,480,98.30
2023-10-23,RDS,db-instance-456,prod,database,eu-west-1,720,202.10
2023-10-24,Lambda,function-789,prod,backend,us-east-1,24,12.75
2023-10-25,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,151.40
2023-10-26,S3,bucket-123,prod,data,us-west-2,168,5.35
2023-10-27,EC2,i-0987654321fedcba0,dev,frontend,us-east-1,480,99.60
2023-10-28,RDS,db-instance-456,prod,database,eu-west-1,720,200.75
2023-10-29,EC2,i-1234567890abcdef0,prod,backend,us-east-1,720,150.90
2023-10-30,S3,bucket-123,prod,data,us-west-2,168,5.40
